EPF_Number__t2o,Gender,PermanentRecidence_cat,Recidence,CivilStatus_cat,HighestEducationQualification_cat,InterviewedBy,ExtraCurricularActivities,ApparelRelatedVocationalQualification,PreviousJob,ExperiencedSection_cat,RelativesInApparel,SpouseOccupation_cat,FamilyOppinionAboutTheJob,Referel_cat,ExpectationOfDoingTheJob_cat,AvailabilityOfTransportNearTheResidence,RetentionCategory,SelectedDepartment,ReasonForChooseApparel,PreviousWorkPlace,PersonalImpression,ContributionToTheFamilyIncome_cat,Children_cat,ApparelExperience,ReasonForLeaving_cat,Height,Weight,MedicalTest,IQTestScore,ExpectedSalary,FollowingExternalCourses,LastBasicSal_cat,Age Category,Age Joined,Age(Median),Is Terminated
827,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,169,51,Passed,75,25000,No,0to15000,2,22,22,No
828,Female,No,Boarded,Married,PassedOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NoJob,Good,High,NoChildren,FALSE,NoJob,155,60,Passed,70,25000,No,NoJob,2,22,22,No
829,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Other,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,ChildrenLessThan5Yrs,TRUE,JobIssue,147,37,Passed,60,30000,No,15000to30000,5,36,38,Yes
830,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,NoExperience,FALSE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,FamilyMembersAeWorkingInApparel,SamePlant,Good,Moderate,ChildrenGreaterThan5Yrs,FALSE,Other,159,50,Passed,65,25000,No,NoJob,4,34,32,No
831,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,High,ChildrenLessThan5Yrs,TRUE,PersonalIssue,168,46,Passed,0,25000,No,0to15000,5,36,38,No
832,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Support,TRUE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,163,46,Passed,65,25000,No,15000to30000,1,18,19,Yes
833,Female,No,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,Apparel,Other,FALSE,NoSpouse,Like,Media,ShortTerm,Yes,C,TMChecker,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,Other,173,58,Passed,90,25000,No,0to15000,2,22,22,Yes
834,Female,No,Boarded,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,NoChildren,TRUE,JobIssue,149,40,Passed,70,30000,No,15000to30000,3,29,27,Yes
835,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenLessThan5Yrs,TRUE,JobIssue,152,53,Passed,75,30000,No,15000to30000,2,24,22,Yes
836,Female,No,ComingFromHome,NoSpouse,PassedAL,Gihan,FALSE,FALSE,NonApparel,Other,FALSE,NoSpouse,Like,Media,ShortTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NotMAS,Good,High,NoChildren,FALSE,Other,162,65,Passed,100,20000,No,15000to30000,5,39,38,No
837,Female,No,ComingFromHome,Unmarried,UptoOL,Pasinduni,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Good,Low,Unmarried,TRUE,NoJob,162,56,Passed,95,17500,No,NoJob,2,22,22,Yes
838,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,TRUE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,CouldnotFindAnotherJob,NoJob,Average,Moderate,Unmarried,FALSE,NoJob,165,52,Passed,80,25000,No,NoJob,1,18,19,Yes
839,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,Apparel,Support,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,Other,148,36,Passed,90,25000,No,15000to30000,1,19,19,Yes
840,Female,No,Boarded,Married,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,NoChildren,FALSE,NoJob,170,66,Passed,100,25000,No,NoJob,3,29,27,No
841,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,ChildrenLessThan5Yrs,FALSE,NoJob,169,46,Passed,80,25000,No,NoJob,2,24,22,Yes
842,Female,No,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NoJob,Good,Moderate,ChildrenLessThan5Yrs,FALSE,NoJob,153,55,Passed,65,25000,No,NoJob,3,25,27,Yes
843,Female,No,ComingFromHome,Unmarried,PassedOL,Lahiru,TRUE,FALSE,NonApparel,Other,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,CouldnotFindAnotherJob,NotMAS,Average,Moderate,Unmarried,FALSE,PersonalIssue,156,54,Passed,80,25000,No,0to15000,3,26,27,Yes
844,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,165,65,Passed,60,20000,No,NoJob,3,29,27,Yes
845,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,TRUE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,154,42,Passed,100,30000,No,15000to30000,1,18,19,Yes
846,Female,Yes,ComingFromHome,Unmarried,PassedOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,162,52,Passed,80,25000,No,NoJob,2,21,22,Yes
847,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,ChildrenGreaterThan5Yrs,TRUE,PersonalIssue,154,43,Passed,75,30000,No,15000to30000,5,40,38,Yes
848,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,TRUE,JobIssue,162,49,Passed,100,25000,No,15000to30000,3,29,27,No
849,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenLessThan5Yrs,TRUE,PersonalIssue,168,51,Passed,85,25000,No,15000to30000,2,23,22,No
850,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,JobIssue,162,56,Passed,100,25000,No,15000to30000,5,36,38,No
851,Female,No,ComingFromHome,Unmarried,PassedAL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,NotMAS,Average,High,Unmarried,TRUE,Other,163,69,Passed,65,25000,No,0to15000,5,35,38,No
852,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,Other,NoJob,Average,Low,Unmarried,FALSE,NoJob,170,49,Passed,90,25000,No,NoJob,1,19,19,Yes
853,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,Low,ChildrenGreaterThan5Yrs,TRUE,JobIssue,166,50,Passed,0,25000,No,15000to30000,5,45,38,Yes
854,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,Other,169,48,Passed,65,25000,No,0to15000,3,27,27,Yes
855,Female,No,Boarded,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Moderate,NoChildren,TRUE,Other,168,44,Passed,95,25000,No,15000to30000,2,20,22,Yes
856,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,TRUE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NotMAS,Good,Low,Unmarried,TRUE,Other,160,58,Passed,80,24000,No,15000to30000,2,20,22,Yes
857,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,NonApparel,Other,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,FALSE,JobIssue,158,46,Passed,75,30000,No,15000to30000,3,25,27,Yes
858,Female,No,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,TRUE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,ChildrenGreaterThan5Yrs,FALSE,NoJob,170,68,Passed,100,28000,No,NoJob,4,33,32,Yes
859,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,ChildrenGreaterThan5Yrs,FALSE,NoJob,165,53,Passed,75,25000,No,NoJob,2,23,22,Yes
860,Female,Yes,ComingFromHome,Unmarried,PassedOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,156,40,Passed,100,25000,No,NoJob,2,20,22,Yes
861,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,TRUE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,FamilyMembersAeWorkingInApparel,NoJob,Average,Low,Unmarried,FALSE,NoJob,158,39,Passed,80,25000,No,NoJob,2,20,22,Yes
862,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,ChildrenLessThan5Yrs,FALSE,NoJob,165,82,Passed,85,30000,No,NoJob,5,36,38,Yes
863,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NoJob,Good,High,Unmarried,FALSE,NoJob,152,65,Passed,75,25000,No,NoJob,1,19,19,No
864,Female,No,Boarded,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,NoExperience,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,MASPlant,Good,Moderate,ChildrenGreaterThan5Yrs,FALSE,PersonalIssue,156,50,Passed,60,25000,No,NoJob,2,24,22,No
865,Female,No,ComingFromHome,Unmarried,PassedOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,CouldnotFindAnotherJob,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,64,50,Passed,68,25000,No,NoJob,1,19,19,No
866,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,NonApparel,Other,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Moderate,NoChildren,FALSE,JobIssue,174,52,Passed,60,25000,No,30000to50000,3,29,27,Yes
867,Female,Yes,ComingFromHome,Unmarried,PassedOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,CloseProximityToHome,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,152,55,Passed,70,25000,No,NoJob,2,20,22,Yes
868,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NotMAS,Good,Moderate,Unmarried,FALSE,Other,162,55,Passed,100,19000,Yes,0to15000,4,32,32,Yes
869,Female,No,Boarded,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,Other,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,Other,163,66,Passed,70,30000,No,15000to30000,4,33,32,Yes
870,Female,No,Boarded,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Media,LongTerm,Yes,B,TMMO,LikeSewing,NotMAS,Good,High,NoChildren,TRUE,Other,162,68,Passed,100,19000,No,0to15000,1,19,19,Yes
871,Female,No,Boarded,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,MASPlant,Average,Low,NoChildren,TRUE,JobIssue,169,46,Passed,80,25000,No,15000to30000,4,32,32,No
872,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,169,48,Passed,85,25000,No,NoJob,2,22,22,Yes
873,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,ChildrenLessThan5Yrs,TRUE,JobIssue,169,45,Passed,75,25000,No,15000to30000,2,24,22,Yes
874,Female,Yes,ComingFromHome,Unmarried,PassedOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NoJob,Good,High,Unmarried,FALSE,NoJob,153,58,Passed,70,25000,No,NoJob,1,19,19,Yes
875,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,NoChildren,FALSE,NoJob,167,60,Passed,55,30000,No,NoJob,4,31,32,Yes
876,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,163,43,Passed,75,25000,No,NoJob,2,21,22,Yes
877,Female,No,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NonApparel,Other,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,FamilyMembersAeWorkingInApparel,NotMAS,Good,Low,Unmarried,TRUE,Other,159,45,Passed,90,30000,No,15000to30000,2,21,22,Yes
878,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,162,53,Passed,90,30000,No,NoJob,3,25,27,Yes
879,Female,No,Boarded,Married,UptoOL,Dinuka,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,TRUE,JobIssue,170,50,Passed,85,25000,No,0to15000,2,22,22,Yes
880,Female,Yes,ComingFromHome,Unmarried,PassedOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,FamilyMembersAeWorkingInApparel,NotMAS,Average,Low,Unmarried,TRUE,Other,156,41,Passed,90,28000,No,15000to30000,2,20,22,Yes
881,Female,Yes,ComingFromHome,Unmarried,PassedOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,152,63,Passed,85,30000,No,NoJob,2,20,22,Yes
882,Female,Yes,ComingFromHome,Married,PassedAL,Dinuka,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,Other,LongTerm,Yes,B,TMMO,LikeSewing,SamePlant,Average,Low,NoChildren,TRUE,Other,166,66,Passed,0,25000,No,15000to30000,5,56,38,No
883,Female,No,Boarded,Unmarried,UptoOL,Dinuka,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,176,52,Passed,65,25000,No,0to15000,1,19,19,Yes
884,Female,Yes,ComingFromHome,Unmarried,UptoOL,Dinuka,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,No,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,169,51,Passed,100,25000,No,NoJob,1,19,19,Yes
885,Female,No,ComingFromHome,NoSpouse,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,B,TMMO,LikeSewing,NotMAS,Average,Low,NoChildren,TRUE,JobIssue,169,51,Passed,55,25000,No,0to15000,2,23,22,Yes
886,Female,No,ComingFromHome,Unmarried,UptoOL,Dinuka,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NoJob,Average,Low,Unmarried,FALSE,NoJob,154,42,Passed,95,25000,No,NoJob,1,18,19,Yes
887,Female,No,Boarded,Unmarried,UptoOL,Sugath,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,NotMAS,Good,High,Unmarried,FALSE,PersonalIssue,149,52,Passed,50,19000,No,15000to30000,2,21,22,Yes
888,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenLessThan5Yrs,TRUE,PersonalIssue,153,58,Passed,75,30000,No,15000to30000,3,29,27,Yes
889,Female,Yes,ComingFromHome,Unmarried,PassedOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,142,52,Passed,90,30000,No,15000to30000,3,26,27,Yes
890,Female,No,Boarded,Unmarried,PassedOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,161,58,Passed,85,28000,No,NoJob,2,20,22,Yes
891,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,173,62,Passed,100,25000,Yes,NoJob,1,19,19,Yes
892,Female,No,ComingFromHome,Unmarried,PassedOL,Lahiru,TRUE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,CloseProximityToHome,NoJob,Average,Low,Unmarried,FALSE,NoJob,164,55,Passed,95,24000,No,NoJob,2,20,22,Yes
893,Female,No,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,160,50,Passed,90,25000,No,NoJob,2,20,22,Yes
894,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,B,TMMO,LikeSewing,NotMAS,Good,High,Unmarried,FALSE,JobIssue,162,49,Passed,60,19000,No,15000to30000,2,22,22,Yes
895,Female,Yes,ComingFromHome,Unmarried,PassedOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,NotMAS,Average,Moderate,Unmarried,TRUE,Other,155,45,Passed,60,17500,No,15000to30000,2,23,22,Yes
896,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,Unmarried,TRUE,JobIssue,169,51,Passed,90,25000,No,0to15000,1,19,19,No
897,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,170,54,Passed,80,25000,No,0to15000,2,21,22,Yes
898,Female,No,ComingFromRelativesPlace,Unmarried,PassedOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NotMAS,Good,High,Unmarried,FALSE,Other,152,48,Passed,95,26000,No,15000to30000,2,20,22,Yes
899,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,TRUE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NoJob,Average,Low,Unmarried,FALSE,NoJob,152,55,Passed,95,30000,Expect,NoJob,2,20,22,Yes
900,Female,Yes,ComingFromHome,Unmarried,PassedOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,161,56,Passed,90,28000,No,NoJob,1,19,19,Yes
901,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,Low,ChildrenGreaterThan5Yrs,TRUE,JobIssue,153,43,Passed,65,25000,No,15000to30000,4,33,32,Yes
902,Female,Yes,Boarded,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,TRUE,PersonalIssue,150,51,Passed,85,30000,No,15000to30000,4,31,32,Yes
903,Female,Yes,ComingFromHome,Unmarried,UptoOL,Dinuka,FALSE,FALSE,Apparel,Sewing,TRUE,NoSpouse,Like,Other,ShortTerm,Yes,C,TMMO,LikeSewing,MASPlant,Average,Low,Unmarried,TRUE,Other,169,48,Passed,90,25000,No,15000to30000,2,23,22,No
904,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,D,TMMO,CouldnotFindAnotherJob,NoJob,Good,High,Unmarried,FALSE,NoJob,161,55,Failed,30,20000,No,NoJob,1,18,19,No
905,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,NonApparel,Other,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Moderate,NoChildren,FALSE,JobIssue,167,49,Passed,90,25000,No,15000to30000,1,19,19,No
906,Female,No,ComingFromHome,Married,PassedOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,ChildrenLessThan5Yrs,FALSE,NoJob,169,52,Passed,75,25000,No,NoJob,4,32,32,No
907,Female,No,Boarded,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NonApparel,Other,FALSE,NoSpouse,Like,Other,LongTerm,Yes,C,TMMO,Other,NotMAS,Average,High,Unmarried,FALSE,JobIssue,161,52,Passed,60,25000,No,0to15000,2,22,22,Yes
908,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,MASPlant,Average,High,NoChildren,TRUE,PersonalIssue,156,41,Passed,85,25000,No,15000to30000,2,22,22,Yes
909,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NotMAS,Average,Moderate,Unmarried,FALSE,JobIssue,162,56,Passed,80,19000,No,15000to30000,2,22,22,Yes
910,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,FALSE,Other,154,41,Passed,75,26000,No,0to15000,2,20,22,Yes
911,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,NoChildren,FALSE,NoJob,161,52,Passed,55,25000,No,NoJob,1,19,19,Yes
